Review,Sentiment,Tokens,word_count
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,1,"['ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside']",9
he came running after us when he realized my husband had left his sunglasses on the table,1,"['came', 'running', 'u', 'realized', 'husband', 'left', 'sunglass', 'table']",8
their chow mein is so good,1,"['chow', 'mein', 'good']",3
they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,0,"['horrible', 'attitude', 'towards', 'customer', 'talk', 'one', 'customer', 'dont', 'enjoy', 'food']",10
the portion was huge,1,"['portion', 'huge']",2
loved itfriendly servers great food wonderful and imaginative menu,1,"['loved', 'itfriendly', 'server', 'great', 'food', 'wonderful', 'imaginative', 'menu']",8
the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,0,"['heart', 'attack', 'grill', 'downtown', 'vega', 'absolutely', 'flatlined', 'excuse', 'restaurant']",9
not much seafood and like 5 strings of pasta at the bottom,0,"['much', 'seafood', 'like', '5', 'string', 'pasta', 'bottom']",7
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,1,"['salad', 'right', 'amount', 'sauce', 'power', 'scallop', 'perfectly', 'cooked']",8
the ripped banana was not only ripped but petrified and tasteless,0,"['ripped', 'banana', 'ripped', 'petrified', 'tasteless']",5
at least think to refill my water before i struggle to wave you over for 10 minutes,0,"['least', 'think', 'refill', 'water', 'struggle', 'wave', '10', 'minute']",8
this place receives stars for their appetizers,1,"['place', 'receives', 'star', 'appetizer']",4
the cocktails are all handmade and delicious,1,"['cocktail', 'handmade', 'delicious']",3
wed definitely go back here again,1,"['wed', 'definitely', 'go', 'back']",4
we are so glad we found this place,1,"['glad', 'found', 'place']",3
great food and service huge portions and they give a military discount,1,"['great', 'food', 'service', 'huge', 'portion', 'give', 'military', 'discount']",8
always a great time at dos gringos,1,"['always', 'great', 'time', 'do', 'gringo']",5
updatewent back for a second time and it was still just as amazing,1,"['updatewent', 'back', 'second', 'time', 'still', 'amazing']",6
we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0,"['got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",9
a great way to finish a great,1,"['great', 'way', 'finish', 'great']",4
the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected,1,"['deal', 'included', '5', 'tasting', '2', 'drink', 'jeff', 'went', 'beyond', 'expected']",10
 really really good rice all the time,1,"['really', 'really', 'good', 'rice', 'time']",5
the service was meh,0,"['service', 'meh']",2
it took over 30 min to get their milkshake which was nothing more than chocolate milk,0,"['took', '30', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk']",8
i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,0,"['guess', 'known', 'place', 'would', 'suck', 'inside', 'excalibur', 'didnt', 'use', 'common', 'sense']",11
the scallop dish is quite appalling for value as well,0,"['scallop', 'dish', 'quite', 'appalling', 'value', 'well']",6
2 times  very bad customer service ,0,"['2', 'time', 'bad', 'customer', 'service']",5
the sweet potato fries were very good and seasoned well,1,"['sweet', 'potato', 'fry', 'good', 'seasoned', 'well']",6
today is the second time ive been to their lunch buffet and it was pretty good,1,"['today', 'second', 'time', 'ive', 'lunch', 'buffet', 'pretty', 'good']",8
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,0,"['much', 'good', 'food', 'vega', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company']",12
coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,0,"['coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'party', 'cant', 'wait', 'person', 'ask', 'break']",11
walked in and the place smelled like an old grease trap and only 2 others there eating,0,"['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', '2', 'others', 'eating']",10
the turkey and roast beef were bland,0,"['turkey', 'roast', 'beef', 'bland']",4
this place has it,1,['place'],1
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,0,"['pan', 'cake', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old']",13
i love the pho and the spring rolls oh so yummy you have to try,1,"['love', 'pho', 'spring', 'roll', 'oh', 'yummy', 'try']",7
the poor batter to meat ratio made the chicken tenders very unsatisfying,0,"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tender', 'unsatisfying']",8
all i have to say is the food was amazing,1,"['say', 'food', 'amazing']",3
omelets are to die for,1,"['omelet', 'die']",2
everything was fresh and delicious,1,"['everything', 'fresh', 'delicious']",3
in summary this was a largely disappointing dining experience,0,"['summary', 'largely', 'disappointing', 'dining', 'experience']",5
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,1,"['like', 'really', 'sexy', 'party', 'mouth', 'youre', 'outrageously', 'flirting', 'hottest', 'person', 'party']",11
never been to hard rock casino before will never ever step forward in it again,0,"['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward']",8
best breakfast buffet,1,"['best', 'breakfast', 'buffet']",3
say bye bye to your tip lady,0,"['say', 'bye', 'bye', 'tip', 'lady']",5
well never go again,0,"['well', 'never', 'go']",3
will be back again,1,['back'],1
food arrived quickly,1,"['food', 'arrived', 'quickly']",3
it was not good,0,['good'],1
on the up side their cafe serves really good food,1,"['side', 'cafe', 'serf', 'really', 'good', 'food']",6
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,1,"['server', 'fantastic', 'found', 'wife', 'love', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",15
the only good thing was our waiter he was very helpful and kept the bloddy marys coming,1,"['good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'mary', 'coming']",8
best buffet in town for the price you cannot beat it,1,"['best', 'buffet', 'town', 'price', 'beat']",5
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,1,"['loved', 'mussel', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dish', 'delicious']",10
this is one of the better buffets that i have been to,1,"['one', 'better', 'buffet']",3
so we went to tigerlilly and had a fantastic afternoon,1,"['went', 'tigerlilly', 'fantastic', 'afternoon']",4
the food was delicious our bartender was attentive and personable and we got a great deal,1,"['food', 'delicious', 'bartender', 'attentive', 'personable', 'got', 'great', 'deal']",8
the ambience is wonderful and there is music playing,1,"['ambience', 'wonderful', 'music', 'playing']",4
will go back next trip out,1,"['go', 'back', 'next', 'trip']",4
sooooo good,1,"['sooooo', 'good']",2
real sushi lovers lets be honest  yama is not that good,0,"['real', 'sushi', 'lover', 'let', 'honest', 'yama', 'good']",7
at least 40min passed in between us ordering and the food arriving and it wasnt that busy,0,"['least', '40min', 'passed', 'u', 'ordering', 'food', 'arriving', 'wasnt', 'busy']",9
this is a really fantastic thai restaurant which is definitely worth a visit,1,"['really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit']",7
nice spicy and tender,1,"['nice', 'spicy', 'tender']",3
good prices,1,"['good', 'price']",2
check it out,1,['check'],1
it was pretty gross,0,"['pretty', 'gross']",2
ive had better atmosphere,0,"['ive', 'better', 'atmosphere']",3
kind of hard to mess up a steak but they did,0,"['kind', 'hard', 'mess', 'steak']",4
although i very much liked the look and sound of this place the actual experience was a bit disappointing,0,"['although', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing']",10
i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,0,"['dont', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine']",12
worst service to boot but that is the least of their worries,0,"['worst', 'service', 'boot', 'least', 'worry']",5
service was fine and the waitress was friendly,1,"['service', 'fine', 'waitress', 'friendly']",4
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,1,"['guy', 'steak', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'place', 'said', 'best', 'steak', 'he', 'ever', 'eaten']",15
we thought youd have to venture further away to get good sushi but this place really hit the spot that night,1,"['thought', 'youd', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",12
host staff were for lack of a better word bitches,0,"['host', 'staff', 'lack', 'better', 'word', 'bitch']",6
bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,0,"['bland', 'liking', 'place', 'number', 'reason', 'dont', 'want', 'waste', 'time', 'bad', 'reviewing', 'ill', 'leave']",13
phenomenal food service and ambiance,1,"['phenomenal', 'food', 'service', 'ambiance']",4
i wouldnt return,0,"['wouldnt', 'return']",2
definitely worth venturing off the strip for the pork belly will return next time im in vegas,1,"['definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'im', 'vega']",11
this place is way too overpriced for mediocre food,0,"['place', 'way', 'overpriced', 'mediocre', 'food']",5
penne vodka excellent,1,"['penne', 'vodka', 'excellent']",3
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,1,"['good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burger']",15
the management is rude,0,"['management', 'rude']",2
delicious nyc bagels good selections of cream cheese real lox with capers even,1,"['delicious', 'nyc', 'bagel', 'good', 'selection', 'cream', 'cheese', 'real', 'lox', 'caper', 'even']",11
great subway in fact its so good when you come here every other subway will not meet your expectations,1,"['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'meet', 'expectation']",9
i had a seriously solid breakfast here,1,"['seriously', 'solid', 'breakfast']",3
this is one of the best bars with food in vegas,1,"['one', 'best', 'bar', 'food', 'vega']",5
he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,0,"['extremely', 'rude', 'really', 'many', 'restaurant', 'would', 'love', 'dine', 'weekend', 'vega']",10
my drink was never empty and he made some really great menu suggestions,1,"['drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestion']",8
dont do it,0,['dont'],1
the waiter wasnt helpful or friendly and rarely checked on us,0,"['waiter', 'wasnt', 'helpful', 'friendly', 'rarely', 'checked', 'u']",7
my husband and i ate lunch here and were very disappointed with the food and service,0,"['husband', 'ate', 'lunch', 'disappointed', 'food', 'service']",6
and the red curry had so much bamboo shoots and wasnt very tasty to me,0,"['red', 'curry', 'much', 'bamboo', 'shoot', 'wasnt', 'tasty']",7
nice blanket of moz over top but i feel like this was done to cover up the subpar food,1,"['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food']",10
the bathrooms are clean and the place itself is well decorated,1,"['bathroom', 'clean', 'place', 'well', 'decorated']",5
the menu is always changing food quality is going down  service is extremely slow,0,"['menu', 'always', 'changing', 'food', 'quality', 'going', 'service', 'extremely', 'slow']",9
the service was a little slow  considering that were served by 3 people servers so the food was coming in a slow pace,0,"['service', 'little', 'slow', 'considering', 'served', '3', 'people', 'server', 'food', 'coming', 'slow', 'pace']",12
i give it 2 thumbs down,0,"['give', '2', 'thumb']",3
we watched our waiter pay a lot more attention to other tables and ignore us,0,"['watched', 'waiter', 'pay', 'lot', 'attention', 'table', 'ignore', 'u']",8
my fiancé and i came in the middle of the day and we were greeted and seated right away,1,"['fiancé', 'came', 'middle', 'day', 'greeted', 'seated', 'right', 'away']",8
this is a great restaurant at the mandalay bay,1,"['great', 'restaurant', 'mandalay', 'bay']",4
we waited for forty five minutes in vain,0,"['waited', 'forty', 'five', 'minute', 'vain']",5
crostini that came with the salad was stale,0,"['crostini', 'came', 'salad', 'stale']",4
some highlights  great quality nigiri here,1,"['highlight', 'great', 'quality', 'nigiri']",4
the staff is friendly and the joint is always clean,1,"['staff', 'friendly', 'joint', 'always', 'clean']",5
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,1,"['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well', 'flavored']",10
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago,1,"['ordered', 'voodoo', 'pasta', 'first', 'time', 'id', 'really', 'excellent', 'pasta', 'since', 'going', 'gluten', 'free', 'several', 'year', 'ago']",16
this place is good,1,"['place', 'good']",2
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,0,"['unfortunately', 'must', 'hit', 'bakery', 'leftover', 'day', 'everything', 'ordered', 'stale']",9
i came back today since they relocated and still not impressed,0,"['came', 'back', 'today', 'since', 'relocated', 'still', 'impressed']",7
i was seated immediately,1,"['seated', 'immediately']",2
their menu is diverse and reasonably priced,1,"['menu', 'diverse', 'reasonably', 'priced']",4
avoid at all cost,0,"['avoid', 'cost']",2
restaurant is always full but never a wait,1,"['restaurant', 'always', 'full', 'never', 'wait']",5
delicious,1,['delicious'],1
this place is handsdown one of the best places to eat in the phoenix metro area,1,"['place', 'handsdown', 'one', 'best', 'place', 'eat', 'phoenix', 'metro', 'area']",9
so dont go there if you are looking for good food,0,"['dont', 'go', 'looking', 'good', 'food']",5
ive never been treated so bad,0,"['ive', 'never', 'treated', 'bad']",4
bacon is hella salty,1,"['bacon', 'hella', 'salty']",3
we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,0,"['also', 'ordered', 'spinach', 'avocado', 'salad', 'ingredient', 'sad', 'dressing', 'literally', 'zero', 'taste']",11
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,1,"['really', 'vega', 'fine', 'dining', 'used', 'right', 'menu', 'handed', 'lady', 'price', 'listed']",11
the waitresses are very friendly,1,"['waitress', 'friendly']",2
lordy the khao soi is a dish that is not to be missed for curry lovers,1,"['lordy', 'khao', 'soi', 'dish', 'missed', 'curry', 'lover']",7
everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,1,"['everything', 'menu', 'terrific', 'also', 'thrilled', 'made', 'amazing', 'accommodation', 'vegetarian', 'daughter']",10
perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,0,"['perhaps', 'caught', 'night', 'judging', 'review', 'im', 'inspired', 'go', 'back']",9
the service here leaves a lot to be desired,0,"['service', 'leaf', 'lot', 'desired']",4
the atmosphere is modern and hip while maintaining a touch of coziness,1,"['atmosphere', 'modern', 'hip', 'maintaining', 'touch', 'coziness']",6
not a weekly haunt but definitely a place to come back to every once in a while,1,"['weekly', 'haunt', 'definitely', 'place', 'come', 'back', 'every']",7
we literally sat there for 20 minutes with no one asking to take our order,0,"['literally', 'sat', '20', 'minute', 'one', 'asking', 'take', 'order']",8
the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,0,"['burger', 'absolutely', 'flavor', 'meat', 'totally', 'bland', 'burger', 'overcooked', 'charcoal', 'flavor']",10
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,0,"['also', 'decided', 'send', 'back', 'waitress', 'looked', 'like', 'verge', 'heart', 'attack']",10
i dressed up to be treated so rudely,0,"['dressed', 'treated', 'rudely']",3
it was probably dirt,0,"['probably', 'dirt']",2
love this place hits the spot when i want something healthy but not lacking in quantity or flavor,1,"['love', 'place', 'hit', 'spot', 'want', 'something', 'healthy', 'lacking', 'quantity', 'flavor']",10
i ordered the lemon raspberry ice cocktail which was also incredible,1,"['ordered', 'lemon', 'raspberry', 'ice', 'cocktail', 'also', 'incredible']",7
the food sucked which we expected but it sucked more than we could have imagined,0,"['food', 'sucked', 'expected', 'sucked', 'could', 'imagined']",6
interesting decor,1,"['interesting', 'decor']",2
what i really like there is the crepe station,1,"['really', 'like', 'crepe', 'station']",4
also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,1,"['also', 'served', 'hot', 'bread', 'butter', 'home', 'made', 'potato', 'chip', 'bacon', 'bit', 'topvery', 'original', 'good']",14
you can watch them preparing the delicious food,1,"['watch', 'preparing', 'delicious', 'food']",4
both of the egg rolls were fantastic,1,"['egg', 'roll', 'fantastic']",3
when my order arrived one of the gyros was missing,0,"['order', 'arrived', 'one', 'gyro', 'missing']",5
i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,1,"['salad', 'wing', 'ice', 'cream', 'dessert', 'left', 'feeling', 'quite', 'satisfied']",9
im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine,0,"['im', 'really', 'sure', 'joeys', 'voted', 'best', 'hot', 'dog', 'valley', 'reader', 'phoenix', 'magazine']",12
the best place to go for a tasty bowl of pho,1,"['best', 'place', 'go', 'tasty', 'bowl', 'pho']",6
the live music on fridays totally blows,0,"['live', 'music', 'friday', 'totally', 'blow']",5
ive never been more insulted or felt disrespected,0,"['ive', 'never', 'insulted', 'felt', 'disrespected']",5
very friendly staff,1,"['friendly', 'staff']",2
it is worth the drive,1,"['worth', 'drive']",2
i had heard good things about this place but it exceeding every hope i could have dreamed of,1,"['heard', 'good', 'thing', 'place', 'exceeding', 'every', 'hope', 'could', 'dreamed']",9
food was great and so was the serivce,1,"['food', 'great', 'serivce']",3
the warm beer didnt help,0,"['warm', 'beer', 'didnt', 'help']",4
great brunch spot,1,"['great', 'brunch', 'spot']",3
service is friendly and inviting,1,"['service', 'friendly', 'inviting']",3
very good lunch spot,1,"['good', 'lunch', 'spot']",3
ive lived here since 1979 and this was the first and last time ive stepped foot into this place,0,"['ive', 'lived', 'since', '1979', 'first', 'last', 'time', 'ive', 'stepped', 'foot', 'place']",11
the worst experience ever,0,"['worst', 'experience', 'ever']",3
must have been an off night at this place,0,"['must', 'night', 'place']",3
the sides are delish  mixed mushrooms yukon gold puree white corn  beateous,1,"['side', 'delish', 'mixed', 'mushroom', 'yukon', 'gold', 'puree', 'white', 'corn', 'beateous']",10
if that bug never showed up i would have given a 4 for sure but on the other side of the wall where this bug was climbing was the kitchen,0,"['bug', 'never', 'showed', 'would', 'given', '4', 'sure', 'side', 'wall', 'bug', 'climbing', 'kitchen']",12
for about 10 minutes we were waiting for her salad when we realized that it wasnt coming any time soon,0,"['10', 'minute', 'waiting', 'salad', 'realized', 'wasnt', 'coming', 'time', 'soon']",9
my friend loved the salmon tartar,1,"['friend', 'loved', 'salmon', 'tartar']",4
wont go back,0,"['wont', 'go', 'back']",3
extremely tasty,1,"['extremely', 'tasty']",2
waitress was good though,1,"['waitress', 'good', 'though']",3
soggy and not good,0,"['soggy', 'good']",2
the jamaican mojitos are delicious,1,"['jamaican', 'mojitos', 'delicious']",3
which are small and not worth the price,0,"['small', 'worth', 'price']",3
 the food is rich so order accordingly,1,"['food', 'rich', 'order', 'accordingly']",4
the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,0,"['shower', 'area', 'outside', 'rinse', 'take', 'full', 'shower', 'unless', 'dont', 'mind', 'nude', 'everyone', 'see']",13
the service was a bit lacking,0,"['service', 'bit', 'lacking']",3
lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables,0,"['lobster', 'bisque', 'bussell', 'sprout', 'risotto', 'filet', 'needed', 'salt', 'pepperand', 'course', 'none', 'table']",12
hopefully this bodes for them going out of business and someone who can cook can come in,0,"['hopefully', 'bodes', 'going', 'business', 'someone', 'cook', 'come']",7
it was either too cold not enough flavor or just bad,0,"['either', 'cold', 'enough', 'flavor', 'bad']",5
i loved the bacon wrapped dates,1,"['loved', 'bacon', 'wrapped', 'date']",4
this is an unbelievable bargain,1,"['unbelievable', 'bargain']",2
the folks at otto always make us feel so welcome and special,1,"['folk', 'otto', 'always', 'make', 'u', 'feel', 'welcome', 'special']",8
as for the mains also uninspired,0,"['main', 'also', 'uninspired']",3
this is the place where i first had pho and it was amazing,1,"['place', 'first', 'pho', 'amazing']",4
this wonderful experience made this place a muststop whenever we are in town again,1,"['wonderful', 'experience', 'made', 'place', 'muststop', 'whenever', 'town']",7
if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people,0,"['food', 'isnt', 'bad', 'enough', 'enjoy', 'dealing', 'world', 'worstannoying', 'drunk', 'people']",10
very very fun chef,1,"['fun', 'chef']",2
ordered a double cheeseburger  got a single patty that was falling apart picture uploaded yeah still sucks,0,"['ordered', 'double', 'cheeseburger', 'got', 'single', 'patty', 'falling', 'apart', 'picture', 'uploaded', 'yeah', 'still', 'suck']",13
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs,1,"['great', 'place', 'couple', 'drink', 'watch', 'sporting', 'event', 'wall', 'covered', 'tv']",10
if it were possible to give them zero stars theyd have it,0,"['possible', 'give', 'zero', 'star', 'theyd']",5
the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell none of the rolls had sauces on them,0,"['description', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'eel', 'sauce', 'yet', 'another', 'said', 'spicy', 'mayowell', 'none', 'roll', 'sauce']",17
id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing,1,"['id', 'say', 'would', 'hardest', 'decision', 'honestly', 'm', 'dish', 'taste', 'supposed', 'taste', 'amazing']",12
if she had not rolled the eyes we may have stayed not sure if we will go back and try it again,0,"['rolled', 'eye', 'may', 'stayed', 'sure', 'go', 'back', 'try']",8
everyone is very attentive providing excellent customer service,1,"['everyone', 'attentive', 'providing', 'excellent', 'customer', 'service']",6
horrible  dont waste your time and money,0,"['horrible', 'dont', 'waste', 'time', 'money']",5
now this dish was quite flavourful,1,"['dish', 'quite', 'flavourful']",3
by this time our side of the restaurant was almost empty so there was no excuse,0,"['time', 'side', 'restaurant', 'almost', 'empty', 'excuse']",6
it wasnt busy either also the building was freezing cold,0,"['wasnt', 'busy', 'either', 'also', 'building', 'freezing', 'cold']",7
like the other reviewer said you couldnt pay me to eat at this place again,0,"['like', 'reviewer', 'said', 'couldnt', 'pay', 'eat', 'place']",7
drinks took close to 30 minutes to come out at one point,0,"['drink', 'took', 'close', '30', 'minute', 'come', 'one', 'point']",8
seriously flavorful delights folks,1,"['seriously', 'flavorful', 'delight', 'folk']",4
much better than the other ayce sushi place i went to in vegas,1,"['much', 'better', 'ayce', 'sushi', 'place', 'went', 'vega']",7
the lighting is just dark enough to set the mood,1,"['lighting', 'dark', 'enough', 'set', 'mood']",5
based on the subpar service i received and no effort to show their gratitude for my business i wont be going back,0,"['based', 'subpar', 'service', 'received', 'effort', 'show', 'gratitude', 'business', 'wont', 'going', 'back']",11
owners are really great people,1,"['owner', 'really', 'great', 'people']",4
there is nothing privileged about workingeating there,0,"['nothing', 'privileged', 'workingeating']",3
the greek dressing was very creamy and flavorful,1,"['greek', 'dressing', 'creamy', 'flavorful']",4
overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,0,"['overall', 'dont', 'think', 'would', 'take', 'parent', 'place', 'made', 'similar', 'complaint', 'silently', 'felt']",12
now the pizza itself was good the peanut sauce was very tasty,1,"['pizza', 'good', 'peanut', 'sauce', 'tasty']",5
we had 7 at our table and the service was pretty fast,1,"['7', 'table', 'service', 'pretty', 'fast']",5
fantastic service here,1,"['fantastic', 'service']",2
